     1     1  182154.6-025557   18.36518   -2.93256  2.60E-2  3.70E-2    0.09   0.05  11.5  4.5    1.0    0.8    1.6    0.5    0.5    1.4   5.6  starless            
     2     2  182215.5-030107   18.37099   -3.01886  2.30E-2  3.30E-2    0.09   0.05  11.5  4.5    1.1    1.0    2.2    0.6    0.7    2.1   4.7  starless            
     3     3  182246.4-032847   18.37956   -3.47994  2.90E-2  3.80E-2    0.09   0.05  11.5  4.5    1.0    0.8    1.4    0.6    0.4    1.1   6.0  starless            
     4     4  182254.4-033415   18.38179   -3.57100  2.50E-2  3.40E-2    0.11   0.05  11.5  4.5    1.2    1.1    2.0    0.7    0.7    1.8   4.6  starless            
     5     7  182324.2-025449   18.39006   -2.91364  1.80E-2  3.00E-2    0.08   0.04  11.5  4.5    2.2    1.0    2.7    1.3    0.7    3.2   4.8  starless            
     6     9  182325.9-025725   18.39054   -2.95703  4.70E-2  5.20E-2    0.25   0.13  11.5  4.5    1.5    1.1    1.4    0.7    0.5    0.6   3.7  starless            
     7    11  182339.9-031334   18.39444   -3.22625  4.30E-2  4.90E-2    0.15   0.08  12.9  1.7    2.3    0.8    1.0    1.1    0.3    0.5   5.5  starless            
     8    12  182340.8-025616   18.39468   -2.93778  2.00E-2  3.20E-2    0.08   0.04  11.5  4.5    0.9    1.0    2.6    0.6    0.7    2.9   4.7  starless            
     9    13  182344.2-025439   18.39561   -2.91108  1.50E-2  2.80E-2    0.05   0.02  11.5  4.5    0.6    0.8    2.6    0.4    0.6    3.8   6.0  starless            
    10    17  182352.8-025457   18.39800   -2.91600  1.10E-2  2.30E-2    0.03   0.01  11.5  4.5    0.4    0.7    2.6    0.3    0.6    5.0   7.7  starless            
    11    18  182353.5-025436   18.39820   -2.91011  8.80E-2  9.20E-2    0.44   0.22  11.5  4.5    2.0    0.6    0.7    0.6    0.2    0.2   3.9  starless            
    12    19  182404.2-025513   18.40117   -2.92042  3.50E-2  4.20E-2    0.09   0.04  11.5  4.5    1.0    0.6    0.8    0.5    0.3    0.5   8.0  starless            
    13    20  182406.0-025633   18.40168   -2.94261  6.60E-2  7.00E-2    0.30   0.15  11.5  4.5    1.7    0.7    0.8    0.6    0.2    0.3   4.3  starless            
    14    22  182411.8-020512   18.40330   -2.08683  2.50E-2  3.90E-2    0.06   0.03  11.5  4.5    1.0    0.5    1.2    0.5    0.3    1.1   7.6  starless            
    15    23  182428.8-025329   18.40800   -2.89153  3.90E-2  4.60E-2    0.11   0.06  13.1  2.2    2.5    0.6    0.9    1.3    0.3    0.5   6.8  starless            
    16    24  182429.8-034118   18.40830   -3.68836  3.50E-2  4.20E-2    0.13   0.08  10.9  1.5    2.0    0.9    1.3    1.1    0.4    0.8   5.2  starless            
    17    25  182435.4-031340   18.40984   -3.22800  3.80E-2  4.60E-2    0.16   0.08  11.5  4.5    1.3    0.9    1.4    0.7    0.4    0.8   4.5  starless            
    18    26  182456.1-023101   18.41560   -2.51703  4.20E-2  4.90E-2    0.10   0.04  11.7  1.1    1.5    0.5    0.7    0.7    0.2    0.4   8.2  starless            
    19    28  182502.6-025242   18.41741   -2.87836  3.20E-2  4.40E-2    0.08   0.04  16.9  2.5    1.1    0.5    1.0    0.6    0.3    0.7   7.6  starless            
    20    35  182520.4-025200   18.42236   -2.86683  3.20E-2  4.00E-2    0.09   0.05  11.5  4.5    0.9    0.7    1.1    0.5    0.4    0.7   6.8  starless            
    21    36  182522.1-025538   18.42281   -2.92739  4.00E-2  4.90E-2    0.18   0.09  12.5  1.5    2.2    0.9    1.3    1.1    0.4    0.7   4.5  starless            
    22    37  182529.8-025335   18.42495   -2.89322  5.30E-2  5.80E-2    0.12   0.07  12.8  1.8    2.0    0.4    0.5    0.8    0.2    0.2   8.4  starless            
    23    40  182543.9-024940   18.42887   -2.82783  2.30E-2  3.50E-2    0.10   0.05  11.5  4.5    0.9    0.9    2.2    0.5    0.6    2.1   4.7  starless            
    24    41  182545.9-025655   18.42943   -2.94883  6.20E-2  6.70E-2    0.28   0.14  11.5  4.5    1.8    0.8    0.9    0.7    0.2    0.3   4.3  starless            
    25    42  182546.7-030547   18.42965   -3.09639  3.70E-2  4.50E-2    0.11   0.07  14.1  2.7    2.0    0.6    0.9    1.0    0.3    0.6   6.7  starless            
    26    43  182546.8-025438   18.42969   -2.91075  2.30E-2  3.60E-2    0.10   0.05  11.5  4.5    1.4    0.9    2.3    0.8    0.6    2.3   4.5  starless            
    27    44  182559.0-025424   18.43307   -2.90686  3.50E-2  4.20E-2    0.06   0.05  13.7  3.4    1.4    0.4    0.6    0.7    0.2    0.4  11.6  starless            
    28    45  182603.5-035148   18.43431   -3.86358  4.20E-2  4.90E-2    0.08   0.02  15.8  1.1    1.0    0.4    0.5    0.5    0.2    0.3  10.5  starless            
    29    46  182624.0-035127   18.44000   -3.85769  3.80E-2  4.50E-2    0.13   0.08  13.2  2.2    1.8    0.7    1.1    0.9    0.4    0.6   5.8  starless            
    30    47  182629.6-030109   18.44156   -3.01936  4.00E-2  4.60E-2    0.12   0.05  12.5  1.5    2.3    0.7    0.9    1.1    0.3    0.5   6.5  starless            
    31    52  182644.1-040143   18.44559   -4.02886  4.70E-2  5.30E-2    0.17   0.09  11.5  4.5    1.8    0.7    0.9    0.8    0.3    0.4   5.3  starless            
